Checking process _PAT  /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre1/slc7_amd64_gcc900/23434.21/step4.root.unused and /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre2/slc7_amd64_gcc900/23434.21/step4.root.unused:
       oldB    newB  deltaB  delta% deltaJ%                                                                     name
0    125119  122504 -2615   -2.1     -1.00   patPackedCandidates_packedPFCandidates__PAT.                           
1    25618   24645  -972    -3.9     -0.37   patMuons_slimmedMuons__PAT.                                            
2    18732   17802  -930    -5.1     -0.35   patPhotons_slimmedPhotonsFromMultiCl__PAT.                             
3    15307   15170  -136    -0.9     -0.05   patElectrons_slimmedElectronsFromMultiCl__PAT.                         
4    14377   14712   335     2.3      0.13   patJets_slimmedJets__PAT.                                              
5    6493    6323   -170    -2.7     -0.06   recoVertexs_offlineSlimmedPrimaryVertices4D__PAT.                      
6    4947    4816   -132    -2.7     -0.05   recoVertexs_offlineSlimmedPrimaryVertices__PAT.                        
7    4673    4673    0       0.0      0.00   patPackedGenParticles_packedGenParticles__PAT.                         
8    2796    2796    0      -0.0     -0.00   recoGenParticles_prunedGenParticles__PAT.                              
9    2767    2568   -199    -7.5     -0.08   patPackedCandidates_lostTracks__PAT.                                   
10   2597    2592   -5      -0.2     -0.00   PileupSummaryInfos_slimmedAddPileupInfo__PAT.                          
11   2559    2715    156     5.9      0.06   patElectrons_slimmedElectrons__PAT.                                    
12   2512    2549    36      1.4      0.01   patJets_slimmedJetsAK8__PAT.                                           
13   2455    2437   -18     -0.7     -0.01   recoCaloJets_slimmedCaloJets__PAT.                                     
14   2353    2355    1       0.1      0.00   patJets_slimmedJetsPuppi__PAT.                                         
15   2317    2238   -80     -3.5     -0.03   recoVertexCompositePtrCandidates_slimmedKshortVertices__PAT.           
16   2278    2325    46      2.0      0.02   patTaus_slimmedTaus__PAT.                                              
17   1831    1832    1       0.0      0.00   patTaus_slimmedTausBoosted__PAT.                                       
18   1810    1907    97      5.2      0.04   patCompositeCandidates_oniaPhotonCandidates_conversions_PAT.           
19   1752    1710   -43     -2.5     -0.02   patIsolatedTracks_isolatedTracks__PAT.                                 
20   1669    1711    42      2.5      0.02   HBHERecHitsSorted_reducedEgamma_reducedHBHEHits_PAT.                   
21   1247    1319    72      5.6      0.03   patElectrons_slimmedLowPtElectrons__PAT.                               
22   1225    1156   -69     -5.8     -0.03   patPackedCandidates_lostTracks_eleTracks_PAT.                          
23   1057    961    -97     -9.6     -0.04   recoTracks_displacedStandAloneMuons__RECO.                             
24   1002    991    -11     -1.1     -0.00   EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_PAT.                  
25   975     881    -94     -10.2    -0.04   recoVertexCompositePtrCandidates_slimmedSecondaryVertices__PAT.        
26   937     937     0       0.0      0.00   recoGenJets_slimmedGenJets__PAT.                                       
27   892     894     2       0.2      0.00   patPhotons_slimmedPhotons__PAT.                                        
28   758     737    -21     -2.8     -0.01   recoVertexCompositePtrCandidates_slimmedLambdaVertices__PAT.           
29   746     791     45      5.8      0.02   recoGsfTracks_reducedEgamma_reducedGsfTracks_PAT.                      
30   604     550    -54     -9.3     -0.02   TrackingRecHitsOwned_slimmedMuonTrackExtras__PAT.                      
31   603     607     3       0.6      0.00   patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_PAT.               
32   524     508    -15     -3.0     -0.01   recoTrackExtras_slimmedMuonTrackExtras__PAT.                           
33   524     495    -28     -5.6     -0.01   floatedmValueMap_offlineSlimmedPrimaryVertices__PAT.                   
34   482     476    -6      -1.3     -0.00   recoCaloClusters_reducedEgamma_reducedEBEEClusters_PAT.                
35   382     382     0       0.0      0.00   recoGenJets_slimmedGenJetsAK8__PAT.                                    
36   350     351     1       0.3      0.00   patMETs_slimmedMETs__PAT.                                              
37   345     347     2       0.6      0.00   patMETs_slimmedMETsPuppi__PAT.                                         
38   341     346     5       1.4      0.00   recoSuperClusters_reducedEgamma_reducedSuperClusters_PAT.              
39   299     300     1       0.2      0.00   patMETs_slimmedMETsNoHF__PAT.                                          
40   256     256     0       0.0      0.00   patTriggerObjectStandAlones_slimmedPatTrigger__PAT.                    
41   209     212     3       1.2      0.00   l1tJetBXVector_caloStage2Digis_Jet_RECO.                               
42   209     208    -1      -0.6     -0.00   l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.                         
43   202     203     1       0.4      0.00   l1tTauBXVector_caloStage2Digis_Tau_RECO.                               
44   186     186     0       0.0      0.00   recoGenJets_slimmedGenJetsAK8SoftDropSubJets__PAT.                     
45   181     181     0       0.0      0.00   recoJetFlavourInfoMatchingCollection_slimmedGenJetsFlavourInfos__PAT.  
46   146     146     0       0.0      0.00   recoCaloClusters_reducedEgamma_reducedESClusters_PAT.                  
47   143     143     0       0.0      0.00   EcalRecHitsSorted_reducedEgamma_reducedEERecHits_PAT.                  
48   130     128    -1      -1.1     -0.00   l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.                           
49   121     165     45      31.1     0.02   recoConversions_reducedEgamma_reducedConversions_PAT.                  
50   116     109    -6      -5.5     -0.00   recoDeDxHitInfos_isolatedTracks__PAT.                                  
