Checking process _PAT  /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre3/slc7_amd64_gcc900/23434.21/step4.root.unused and /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre4/slc7_amd64_gcc900/23434.21/step4.root.unused:
       oldB    newB  deltaB  delta% deltaJ%                                                                     name
0    126299  126225 -74     -0.1     -0.03   patPackedCandidates_packedPFCandidates__PAT.                           
1    25875   29305   3430    12.4     1.29   patMuons_slimmedMuons__PAT.                                            
2    17788   15958  -1830   -10.8    -0.69   patPhotons_slimmedPhotonsFromMultiCl__PAT.                             
3    16053   16320   266     1.6      0.10   patJets_slimmedJets__PAT.                                              
4    15680   12344  -3335   -23.8    -1.25   patElectrons_slimmedElectronsFromMultiCl__PAT.                         
5    6338    6422    84      1.3      0.03   recoVertexs_offlineSlimmedPrimaryVertices4D__PAT.                      
6    5937    5975    38      0.6      0.01   patIsolatedTracks_isolatedTracks__PAT.                                 
7    4849    4924    75      1.5      0.03   recoVertexs_offlineSlimmedPrimaryVertices__PAT.                        
8    4673    4673    0      -0.0     -0.00   patPackedGenParticles_packedGenParticles__PAT.                         
9    2796    2796    0       0.0      0.00   recoGenParticles_prunedGenParticles__PAT.                              
10   2579    2574   -5      -0.2     -0.00   PileupSummaryInfos_slimmedAddPileupInfo__PAT.                          
11   2557    2493   -64     -2.5     -0.02   patJets_slimmedJetsPuppi__PAT.                                         
12   2518    2467   -51     -2.0     -0.02   patTaus_slimmedTaus__PAT.                                              
13   2479    2567    89      3.5      0.03   patJets_slimmedJetsAK8__PAT.                                           
14   2473    2428   -46     -1.9     -0.02   patElectrons_slimmedElectrons__PAT.                                    
15   2435    2420   -15     -0.6     -0.01   recoCaloJets_slimmedCaloJets__PAT.                                     
16   2275    2275    0      -0.0     -0.00   recoVertexCompositePtrCandidates_slimmedKshortVertices__PAT.           
17   1978    1906   -72     -3.7     -0.03   patTaus_slimmedTausBoosted__PAT.                                       
18   1870    1854   -17     -0.9     -0.01   patCompositeCandidates_oniaPhotonCandidates_conversions_PAT.           
19   1617    1610   -6      -0.4     -0.00   HBHERecHitsSorted_reducedEgamma_reducedHBHEHits_PAT.                   
20   1213    1284    71      5.7      0.03   patElectrons_slimmedLowPtElectrons__PAT.                               
21   1049    939    -110    -11.0    -0.04   recoVertexCompositePtrCandidates_slimmedSecondaryVertices__PAT.        
22   1037    1043    6       0.5      0.00   recoTracks_displacedStandAloneMuons__RECO.                             
23   979     895    -84     -8.9     -0.03   EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_PAT.                  
24   978     1042    63      6.3      0.02   patPackedCandidates_lostTracks__PAT.                                   
25   937     937     0       0.0      0.00   recoGenJets_slimmedGenJets__PAT.                                       
26   884     775    -109    -13.2    -0.04   patPhotons_slimmedPhotons__PAT.                                        
27   745     794     49      6.3      0.02   recoVertexCompositePtrCandidates_slimmedLambdaVertices__PAT.           
28   708     676    -32     -4.7     -0.01   recoGsfTracks_reducedEgamma_reducedGsfTracks_PAT.                      
29   682     641    -40     -6.1     -0.02   TrackingRecHitsOwned_slimmedMuonTrackExtras__PAT.                      
30   629     564    -64     -10.8    -0.02   recoTrackExtras_slimmedMuonTrackExtras__PAT.                           
31   568     550    -18     -3.3     -0.01   patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_PAT.               
32   525     534     9       1.6      0.00   floatedmValueMap_offlineSlimmedPrimaryVertices__PAT.                   
33   467     438    -29     -6.3     -0.01   recoCaloClusters_reducedEgamma_reducedEBEEClusters_PAT.                
34   382     382     0       0.0      0.00   recoGenJets_slimmedGenJetsAK8__PAT.                                    
35   352     350    -2      -0.5     -0.00   patMETs_slimmedMETs__PAT.                                              
36   348     346    -2      -0.6     -0.00   patMETs_slimmedMETsPuppi__PAT.                                         
37   327     321    -5      -1.7     -0.00   recoSuperClusters_reducedEgamma_reducedSuperClusters_PAT.              
38   301     300    -1      -0.3     -0.00   patMETs_slimmedMETsNoHF__PAT.                                          
39   256     256     0       0.0      0.00   patTriggerObjectStandAlones_slimmedPatTrigger__PAT.                    
40   210     210    -1      -0.4     -0.00   l1tJetBXVector_caloStage2Digis_Jet_RECO.                               
41   206     207     1       0.4      0.00   l1tEGammaBXVector_caloStage2Digis_EGamma_RECO.                         
42   204     206     2       0.8      0.00   patPackedCandidates_lostTracks_eleTracks_PAT.                          
43   203     202    -1      -0.3     -0.00   l1tTauBXVector_caloStage2Digis_Tau_RECO.                               
